#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.992165380118e+01       1.977071504016e-04      -1.350001266770e+00       2.386929072964e-05       7.828138429680e-07       1.957034607420e-06       3.634336528605e-11       3.914069214840e-07      -1.012500950078e+00       2.386929102427e-05       5.899851325962e-01       6.628100283519e-01      -1.350001255156e+00       2.386098163067e-05       2.482727756818e-04      -1.012500961929e+00       2.388057429362e-05 
       8.014946247075e+01       1.983430030988e-04      -1.349804777173e+00       2.392684258753e-05       7.897517339192e-07       1.974379334798e-06       3.690238214897e-11       3.948758669596e-07      -1.012353582880e+00       2.392684294805e-05       5.900783310376e-01       6.628609654799e-01      -1.349804763024e+00       2.391845989144e-05       2.497238428145e-04      -1.012353597311e+00       2.393821677508e-05 
       8.037727114032e+01       1.989792668393e-04      -1.349612874958e+00       2.398442677710e-05       7.967323189218e-07       1.991830797305e-06       3.746840559217e-11       3.983661594609e-07      -1.012209656219e+00       2.398442720466e-05       5.901706115122e-01       6.629107601338e-01      -1.349612858252e+00       2.397597001078e-05       2.511783993304e-04      -1.012209673252e+00       2.399589205269e-05 
       8.060507980990e+01       1.996159416232e-04      -1.349425495199e+00       2.404204283181e-05       8.037559991046e-07       2.009389997762e-06       3.804152719453e-11       4.018779995523e-07      -1.012069121400e+00       2.404204332755e-05       5.902619850279e-01       6.629594285477e-01      -1.349425475913e+00       2.403351152061e-05       2.526364471311e-04      -1.012069141055e+00       2.405359966051e-05 
       8.083288847947e+01       2.002530274503e-04      -1.349242574017e+00       2.409969029129e-05       8.108231484719e-07       2.027057871180e-06       3.862183711145e-11       4.054115742359e-07      -1.011931930514e+00       2.409969085639e-05       5.903524624439e-01       6.630069866937e-01      -1.349242552128e+00       2.409108395902e-05       2.540979880903e-04      -1.011931952812e+00       2.411133913881e-05 
       8.156928000286e+01       2.023152192397e-04      -1.348681038160e+00       2.428624515530e-05       8.339691127838e-07       2.084922781959e-06       4.054791764133e-11       4.169845563919e-07      -1.011510778621e+00       2.428624595270e-05       5.906389275304e-01       6.631533091503e-01      -1.348681007701e+00       2.427739304144e-05       2.588463369976e-04      -1.011510809608e+00       2.429819464676e-05 
       8.230567152625e+01       2.043817060438e-04      -1.348163389477e+00       2.447310854695e-05       8.575832818386e-07       2.143958204596e-06       4.255297773048e-11       4.287916409193e-07      -1.011122542110e+00       2.447310958933e-05       5.909164914883e-01       6.632887056440e-01      -1.348163350204e+00       2.446400560717e-05       2.636312655713e-04      -1.011122582007e+00       2.448536357566e-05 
       8.304206304964e+01       2.064524878624e-04      -1.347687679554e+00       2.466026616520e-05       8.816746091213e-07       2.204186522803e-06       4.463991001575e-11       4.408373045606e-07      -1.010765759668e+00       2.466026746564e-05       5.911854904340e-01       6.634136633525e-01      -1.347687631217e+00       2.465090730260e-05       2.684528313141e-04      -1.010765808703e+00       2.467283164508e-05 
       8.377845457303e+01       2.085275646957e-04      -1.347252057712e+00       2.484770430035e-05       9.062510301665e-07       2.265627575416e-06       4.681159276817e-11       4.531255150833e-07      -1.010439043288e+00       2.484770587235e-05       5.914462456946e-01       6.635286450156e-01      -1.347252000059e+00       2.483808436523e-05       2.733110889651e-04      -1.010439101691e+00       2.486058516576e-05 
       8.451484609642e+01       2.106069365435e-04      -1.346854765369e+00       2.503540980529e-05       9.313198201627e-07       2.328299550407e-06       4.907091766890e-11       4.656599100814e-07      -1.010141074032e+00       2.503541166276e-05       5.916990644450e-01       6.636340903465e-01      -1.346854698140e+00       2.502552359494e-05       2.782060906160e-04      -1.010141142036e+00       2.504861101083e-05 
       8.525123761981e+01       2.126906034060e-04      -1.346494130831e+00       2.522337006970e-05       9.568878307629e-07       2.392219576907e-06       5.142080903199e-11       4.784439153814e-07      -1.009870598130e+00       2.522337222697e-05       5.919442403410e-01       6.637304173324e-01      -1.346494053762e+00       2.521321232819e-05       2.831378858164e-04      -1.009870675974e+00       2.523689659005e-05 
       8.649101577869e+01       2.162083374511e-04      -1.345965410041e+00       2.554035944653e-05       1.001079698900e-06       2.502699247251e-06       5.558990903083e-11       5.005398494502e-07      -1.009474057540e+00       2.554036214219e-05       5.923405224942e-01       6.638730868010e-01      -1.345965315796e+00       2.552973253763e-05       2.915242321721e-04      -1.009474152496e+00       2.555444495531e-05 
       8.773079393757e+01       2.197382455453e-04      -1.345529022113e+00       2.585798219183e-05       1.046735802559e-06       2.616839506397e-06       6.003871917400e-11       5.233679012794e-07      -1.009146766598e+00       2.585798546990e-05       5.927171943471e-01       6.639928041857e-01      -1.345528909903e+00       2.584687081025e-05       3.000152108768e-04      -1.009146879367e+00       2.587264093977e-05 
